core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
0,55,conv_4_5_c,,47554,47857,47858,47972,303,0,0,1,114,0,"waiting_for=[t484(DRAM,131072B),t485(DRAM,25088B),t492(DRAM,50176B),t493(DRAM,50176B)]"
0,56,conv_4_5_res,,47973,48092,48876,48980,119,0,0,784,104,0,"waiting_for=[t492(DRAM,50176B),t493(DRAM,50176B)]"
0,57,conv_5_0_a,,48981,49330,49331,49341,349,0,0,1,10,0,"waiting_for=[t504(DRAM,131072B),t505(DRAM,173056B)]"
0,58,conv_5_0_b,,49342,50174,50175,50228,832,0,0,1,53,0,"waiting_for=[t513(DRAM,589824B),t514(DRAM,25088B)]"
0,59,conv_5_0_c,,50229,50782,50783,50882,553,0,0,1,99,0,"waiting_for=[t522(DRAM,262144B),t523(DRAM,25088B),t532(DRAM,173056B)]"
0,60,conv_5_br,,50883,51838,51839,51874,955,0,0,1,35,0,"waiting_for=[t531(DRAM,524288B),t532(DRAM,173056B),t536(DRAM,25088B),t538(DRAM,25088B)]"
0,61,conv_5_0_res,,51875,51935,52327,52448,60,0,0,392,121,0,"waiting_for=[t536(DRAM,25088B),t538(DRAM,25088B)]"
0,62,conv_5_1_a,,52449,53034,53035,53104,585,0,0,1,69,0,"waiting_for=[t552(DRAM,262144B),t553(DRAM,100352B)]"
0,63,conv_5_1_b,,53105,54187,54188,54207,1082,0,0,1,19,0,"waiting_for=[t561(DRAM,589824B),t562(DRAM,25088B)]"
0,64,conv_5_1_c,,54208,54641,54642,54745,433,0,0,1,103,0,"waiting_for=[t570(DRAM,262144B),t571(DRAM,25088B),t579(DRAM,25088B),t580(DRAM,25088B)]"
0,65,conv_5_1_res,,54746,55278,55670,55705,532,0,0,392,35,0,"waiting_for=[t579(DRAM,25088B),t580(DRAM,25088B)]"
0,66,conv_5_2_a,,55706,56163,56164,56272,457,0,0,1,108,0,"waiting_for=[t591(DRAM,262144B),t592(DRAM,100352B)]"
0,67,conv_5_2_b,,56273,57105,57106,57168,832,0,0,1,62,0,"waiting_for=[t600(DRAM,589824B),t601(DRAM,25088B)]"
0,68,conv_5_2_c,,57169,57851,57852,57938,682,0,0,1,86,0,"waiting_for=[t609(DRAM,262144B),t610(DRAM,25088B),t618(DRAM,25088B),t619(DRAM,25088B)]"
0,69,conv_5_2_res,,57939,58024,58416,58542,85,0,0,392,126,0,"waiting_for=[t618(DRAM,25088B),t619(DRAM,25088B),t630(DRAM,25088B)]"
0,70,pool5,,58543,58588,58596,58622,45,0,0,8,26,0,"waiting_for=[t630(DRAM,25088B)]"
0,71,fc,,58623,59336,59337,59545,713,0,0,1,208,0,"waiting_for=[t638(DRAM,512000B),t639(DRAM,2048B)]"
1,0,conv1,,0,339,340,615,339,0,0,1,275,0,"waiting_for=[t3(DRAM,4704B),t2(DRAM,76608B),t11(DRAM,200704B)]"
