core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
0,0,conv1,,0,29,30,590,29,0,0,1,560,0,"waiting_for=[t0(DRAM,1176B),t1(DRAM,20355B)]"
0,1,pool1,,591,899,948,1224,308,0,0,49,276,0,"waiting_for=[t16(DRAM,12544B)]"
0,2,conv_2_0_a,,1225,1328,1329,1834,103,0,0,1,505,0,"waiting_for=[t144(DRAM,512B),t145(DRAM,25088B)]"
0,3,conv_2_0_b,,1835,2052,2053,2722,217,0,0,1,669,0,"waiting_for=[t224(DRAM,4608B),t225(DRAM,27840B)]"
0,4,conv_2_0_c,,2723,3012,3013,3970,289,0,0,1,957,0,"waiting_for=[t304(DRAM,2048B),t305(DRAM,25088B),t385(DRAM,25088B)]"
0,5,conv_2_br,,3971,4556,4557,5578,585,0,0,1,1021,0,"waiting_for=[t384(DRAM,2048B),t385(DRAM,25088B),t400(DRAM,12544B),t402(DRAM,12544B)]"
0,6,conv_2_0_res,,5579,6165,6361,6924,586,0,0,196,563,0,"waiting_for=[t400(DRAM,12544B),t402(DRAM,12544B)]"
0,7,conv_2_1_a,,6925,7403,7404,8988,478,0,0,1,1584,0,"waiting_for=[t656(DRAM,2048B),t657(DRAM,100352B)]"
0,8,conv_2_1_b,,8989,9903,9904,10565,914,0,0,1,661,0,"waiting_for=[t736(DRAM,4608B),t737(DRAM,27840B)]"
0,9,conv_2_1_c,,10566,10952,10953,11745,386,0,0,1,792,0,"waiting_for=[t816(DRAM,2048B),t817(DRAM,25088B),t896(DRAM,12544B),t897(DRAM,12544B)]"
0,10,conv_2_1_res,,11746,12423,12619,13081,677,0,0,196,462,0,"waiting_for=[t896(DRAM,12544B),t897(DRAM,12544B)]"
0,11,conv_2_2_a,,13082,13536,13537,14241,454,0,0,1,704,0,"waiting_for=[t1088(DRAM,4096B),t1089(DRAM,50176B)]"
0,12,conv_2_2_b,,14242,14911,14912,15535,669,0,0,1,623,0,"waiting_for=[t1172(DRAM,4608B),t1173(DRAM,27840B)]"
0,13,conv_2_2_c,,15536,15977,15978,16648,441,0,0,1,670,0,"waiting_for=[t1252(DRAM,2048B),t1253(DRAM,25088B),t1332(DRAM,12544B),t1333(DRAM,12544B)]"
0,14,conv_2_2_res,,16649,17367,17563,18065,718,0,0,196,502,0,"waiting_for=[t1332(DRAM,12544B),t1333(DRAM,12544B)]"
0,15,conv_3_0_a,,18066,18573,18574,19075,507,0,0,1,501,0,"waiting_for=[t1524(DRAM,8192B),t1525(DRAM,43264B)]"
0,16,conv_3_0_b,,19076,19804,19805,20458,728,0,0,1,653,0,"waiting_for=[t1608(DRAM,36864B),t1609(DRAM,8192B)]"
0,17,conv_3_0_c,,20459,21121,21122,22116,662,0,0,1,994,0,"waiting_for=[t1692(DRAM,8192B),t1693(DRAM,12544B),t1773(DRAM,89856B)]"
0,18,conv_3_br,,22117,23604,23605,24988,1487,0,0,1,1383,0,"waiting_for=[t1772(DRAM,16384B),t1773(DRAM,89856B),t1788(DRAM,6272B),t1790(DRAM,6272B)]"
0,19,conv_3_0_res,,24989,26571,26669,27508,1582,0,0,98,839,0,"waiting_for=[t1788(DRAM,6272B),t1790(DRAM,6272B)]"
0,20,conv_3_1_a,,27509,27821,27822,28057,312,0,0,1,235,0,"waiting_for=[t2044(DRAM,16384B),t2045(DRAM,25088B)]"
0,21,conv_3_1_b,,28058,28603,28604,29154,545,0,0,1,550,0,"waiting_for=[t2128(DRAM,36864B),t2129(DRAM,8192B)]"
0,22,conv_3_1_c,,29155,29744,29745,30321,589,0,0,1,576,0,"waiting_for=[t2212(DRAM,8192B),t2213(DRAM,12544B),t2292(DRAM,6272B),t2293(DRAM,6272B)]"
0,23,conv_3_1_res,,30322,30803,30901,31255,481,0,0,98,354,0,"waiting_for=[t2292(DRAM,6272B),t2293(DRAM,6272B)]"
0,24,conv_3_2_a,,31256,31627,31628,31844,371,0,0,1,216,0,"waiting_for=[t2484(DRAM,16384B),t2485(DRAM,25088B)]"
0,25,conv_3_2_b,,31845,32385,32386,32867,540,0,0,1,481,0,"waiting_for=[t2568(DRAM,36864B),t2569(DRAM,8192B)]"
0,26,conv_3_2_c,,32868,33530,33531,34026,662,0,0,1,495,0,"waiting_for=[t2652(DRAM,8192B),t2653(DRAM,12544B),t2732(DRAM,6272B),t2733(DRAM,6272B)]"
0,27,conv_3_2_res,,34027,34606,34704,35051,579,0,0,98,347,0,"waiting_for=[t2732(DRAM,6272B),t2733(DRAM,6272B)]"
