[Topology] mesh=2x2 (4 nodes), 4 cores, 0 DRAM controllers (direct, bypass NoC)
[AddressAllocator] Allocated 14896 transfer blocks, total 22352511.69 MB (alignment=64B)
[Simulator] Loaded IR: 2x2 cores, top_batch_cut=4
[Simulator] Total workloads: 6912, DRAM reads: 1568, DRAM writes: 3840
[BookSim2NoC] Initialized 2x2 mesh (4 nodes), 8 VCs, 1 subnets (from inline config)
[Ramulator2DRAM] Initialized from inline config (HBM HBM_2Gbps), yaml_clock_ratio=1, sim_clock_ratio=1.00, channels=4, cache_line=64B
[Simulator] Starting simulation...
[Simulator] Cycle 100000, cores done: 0/4, workloads completed: 0/6912 (0.0%)
[Simulator] Cycle 200000, cores done: 0/4, workloads completed: 0/6912 (0.0%)
[Simulator] Cycle 300000, cores done: 0/4, workloads completed: 0/6912 (0.0%)
[Simulator] Cycle 400000, cores done: 0/4, workloads completed: 4/6912 (0.1%)
[Simulator] Cycle 500000, cores done: 0/4, workloads completed: 4/6912 (0.1%)
[Simulator] Cycle 600000, cores done: 0/4, workloads completed: 4/6912 (0.1%)
[Simulator] Cycle 700000, cores done: 0/4, workloads completed: 8/6912 (0.1%)
[Simulator] Cycle 800000, cores done: 0/4, workloads completed: 8/6912 (0.1%)
[Simulator] Cycle 900000, cores done: 0/4, workloads completed: 8/6912 (0.1%)
[Simulator] Cycle 1000000, cores done: 0/4, workloads completed: 12/6912 (0.2%)
[Simulator] Cycle 1100000, cores done: 0/4, workloads completed: 12/6912 (0.2%)
[Simulator] Cycle 1200000, cores done: 0/4, workloads completed: 12/6912 (0.2%)
[Simulator] Cycle 1300000, cores done: 0/4, workloads completed: 16/6912 (0.2%)
[Simulator] Cycle 1400000, cores done: 0/4, workloads completed: 16/6912 (0.2%)
[Simulator] Cycle 1500000, cores done: 0/4, workloads completed: 16/6912 (0.2%)
[Simulator] Cycle 1600000, cores done: 0/4, workloads completed: 20/6912 (0.3%)
[Simulator] Cycle 1700000, cores done: 0/4, workloads completed: 20/6912 (0.3%)
[Simulator] Cycle 1800000, cores done: 0/4, workloads completed: 20/6912 (0.3%)
[Simulator] Cycle 1900000, cores done: 0/4, workloads completed: 23/6912 (0.3%)
[Simulator] Cycle 2000000, cores done: 0/4, workloads completed: 24/6912 (0.3%)
[Simulator] Cycle 2100000, cores done: 0/4, workloads completed: 25/6912 (0.4%)
[Simulator] Cycle 2200000, cores done: 0/4, workloads completed: 28/6912 (0.4%)
[Simulator] Cycle 2300000, cores done: 0/4, workloads completed: 28/6912 (0.4%)
[Simulator] Cycle 2400000, cores done: 0/4, workloads completed: 32/6912 (0.5%)
[Simulator] Cycle 2500000, cores done: 0/4, workloads completed: 32/6912 (0.5%)
[Simulator] Cycle 2600000, cores done: 0/4, workloads completed: 36/6912 (0.5%)
[Simulator] Cycle 2700000, cores done: 0/4, workloads completed: 36/6912 (0.5%)
[Simulator] Cycle 2800000, cores done: 0/4, workloads completed: 40/6912 (0.6%)
[Simulator] Cycle 2900000, cores done: 0/4, workloads completed: 40/6912 (0.6%)
[Simulator] Cycle 3000000, cores done: 0/4, workloads completed: 43/6912 (0.6%)
[Simulator] Cycle 3100000, cores done: 0/4, workloads completed: 44/6912 (0.6%)
[Simulator] Cycle 3200000, cores done: 0/4, workloads completed: 46/6912 (0.7%)
[Simulator] Cycle 3300000, cores done: 0/4, workloads completed: 48/6912 (0.7%)
[Simulator] Cycle 3400000, cores done: 0/4, workloads completed: 48/6912 (0.7%)
[Simulator] Cycle 3500000, cores done: 0/4, workloads completed: 48/6912 (0.7%)
[Simulator] Cycle 3600000, cores done: 0/4, workloads completed: 52/6912 (0.8%)
[Simulator] Cycle 3700000, cores done: 0/4, workloads completed: 52/6912 (0.8%)
[Simulator] Cycle 3800000, cores done: 0/4, workloads completed: 52/6912 (0.8%)
[Simulator] Cycle 3900000, cores done: 0/4, workloads completed: 54/6912 (0.8%)
