cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,producer,"waiting_for=[t0(DRAM,4096B),t1(DRAM,1024B)]"
0,1,IDLE,LOADING,0,consumer,"waiting_for=[t3(DRAM,8192B),t2(C0,16384B)]"
180,0,LOADING,COMPUTING,0,producer,"compute_cycles=500"
680,0,COMPUTING,IDLE,1,,"workload_done"
681,0,IDLE,DONE,1,,"all_workloads_finished"
938,1,LOADING,COMPUTING,0,consumer,"compute_cycles=300"
1238,1,COMPUTING,WRITEBACK,0,consumer,"writeback_to_dram"
1402,1,WRITEBACK,IDLE,1,,"writeback_complete"
1403,1,IDLE,DONE,1,,"all_workloads_finished"
