cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
590,3,WRITEBACK,IDLE,1,conv1,"writeback_complete"
591,3,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t11(DRAM,38988B),t15(DRAM,38988B)]"
609,4,WRITEBACK,IDLE,1,conv1,"writeback_complete"
610,4,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
629,5,WRITEBACK,IDLE,1,conv1,"writeback_complete"
630,5,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
648,6,WRITEBACK,IDLE,1,conv1,"writeback_complete"
649,6,IDLE,LOADING,1,conv1,"waiting_for=[t6(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
668,7,WRITEBACK,IDLE,1,conv1,"writeback_complete"
669,7,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
688,8,WRITEBACK,IDLE,1,conv1,"writeback_complete"
689,8,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
707,9,WRITEBACK,IDLE,1,conv1,"writeback_complete"
708,9,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
727,10,WRITEBACK,IDLE,1,conv1,"writeback_complete"
728,10,IDLE,LOADING,1,conv1,"waiting_for=[t6(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
746,11,WRITEBACK,IDLE,1,conv1,"writeback_complete"
747,11,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
766,12,WRITEBACK,IDLE,1,conv1,"writeback_complete"
767,12,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t11(DRAM,38988B),t15(DRAM,38988B)]"
806,15,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=806,loading_core_cycles=0"
807,15,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
849,13,WRITEBACK,IDLE,1,conv1,"writeback_complete"
850,13,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t8(DRAM,39675B),t12(DRAM,39675B)]"
861,0,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=329,loading_core_cycles=0"
862,0,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
892,1,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=341,loading_core_cycles=0"
893,1,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
902,14,WRITEBACK,IDLE,1,conv1,"writeback_complete"
903,14,IDLE,LOADING,1,conv1,"waiting_for=[t6(DRAM,2352B),t11(DRAM,38988B),t15(DRAM,38988B)]"
945,2,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=374,loading_core_cycles=0"
946,2,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
996,3,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=405,loading_core_cycles=0"
997,3,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1027,4,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=417,loading_core_cycles=0"
1028,4,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1059,5,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=429,loading_core_cycles=0"
1060,5,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1091,6,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=442,loading_core_cycles=0"
1092,6,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1122,7,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=453,loading_core_cycles=0"
1123,7,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1154,8,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=465,loading_core_cycles=0"
1155,8,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1186,9,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=478,loading_core_cycles=0"
1187,9,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1217,10,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=489,loading_core_cycles=0"
1218,10,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1249,11,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=502,loading_core_cycles=0"
1250,11,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1270,15,WRITEBACK,IDLE,1,conv1,"writeback_complete"
1271,15,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t8(DRAM,39675B),t12(DRAM,39675B)]"
1281,12,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=514,loading_core_cycles=0"
1282,12,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1313,13,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=463,loading_core_cycles=0"
1314,13,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1321,0,WRITEBACK,IDLE,2,conv1,"writeback_complete"
