core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
0,0,conv1,,0,56,57,360,56,0,0,1,303,0,"waiting_for=[t0(DRAM,2352B),t1(DRAM,39675B)]"
0,1,pool1,,361,668,864,1019,307,0,0,196,155,0,"waiting_for=[t8(DRAM,51984B)]"
0,2,conv_2_0_a,,1020,1149,1150,1256,129,0,0,1,106,0,"waiting_for=[t40(DRAM,1024B),t41(DRAM,50176B)]"
0,3,conv_2_0_b,,1257,1467,1468,1598,210,0,0,1,130,0,"waiting_for=[t64(DRAM,9216B),t65(DRAM,53824B)]"
0,4,conv_2_0_c,,1599,1993,1994,2272,394,0,0,1,278,0,"waiting_for=[t88(DRAM,4096B),t89(DRAM,50176B),t113(DRAM,50176B)]"
0,5,conv_2_br,,2273,2791,2792,3434,518,0,0,1,642,0,"waiting_for=[t112(DRAM,4096B),t113(DRAM,50176B),t120(DRAM,50176B),t122(DRAM,50176B)]"
0,6,conv_2_0_res,,3435,3953,4737,5004,518,0,0,784,267,0,"waiting_for=[t120(DRAM,50176B),t122(DRAM,50176B)]"
0,7,conv_2_1_a,,5005,5537,5538,5703,532,0,0,1,165,0,"waiting_for=[t184(DRAM,4096B),t185(DRAM,200704B)]"
0,8,conv_2_1_b,,5704,6168,6169,6423,464,0,0,1,254,0,"waiting_for=[t208(DRAM,9216B),t209(DRAM,53824B)]"
0,9,conv_2_1_c,,6424,7121,7122,7469,697,0,0,1,347,0,"waiting_for=[t232(DRAM,4096B),t233(DRAM,50176B),t256(DRAM,50176B),t257(DRAM,50176B)]"
0,10,conv_2_1_res,,7470,7993,8777,9175,523,0,0,784,398,0,"waiting_for=[t256(DRAM,50176B),t257(DRAM,50176B)]"
0,11,conv_2_2_a,,9176,9789,9790,10251,613,0,0,1,461,0,"waiting_for=[t304(DRAM,4096B),t305(DRAM,200704B)]"
0,12,conv_2_2_b,,10252,10558,10559,10886,306,0,0,1,327,0,"waiting_for=[t328(DRAM,9216B),t329(DRAM,53824B)]"
0,13,conv_2_2_c,,10887,11380,11381,11825,493,0,0,1,444,0,"waiting_for=[t352(DRAM,4096B),t353(DRAM,50176B),t376(DRAM,50176B),t377(DRAM,50176B)]"
0,14,conv_2_2_res,,11826,12273,13057,13441,447,0,0,784,384,0,"waiting_for=[t376(DRAM,50176B),t377(DRAM,50176B)]"
0,15,conv_3_0_a,,13442,14053,14054,14297,611,0,0,1,243,0,"waiting_for=[t424(DRAM,8192B),t425(DRAM,186624B)]"
0,16,conv_3_0_b,,14298,14911,14912,15330,613,0,0,1,418,0,"waiting_for=[t448(DRAM,36864B),t449(DRAM,28800B)]"
