cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t1(DRAM,39675B)]"
0,1,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t4(DRAM,38988B),t23(DRAM,50176B)]"
0,2,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t1(DRAM,39675B)]"
0,3,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t4(DRAM,38988B),t39(DRAM,50176B)]"
0,4,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t2(DRAM,39330B)]"
0,5,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t3(DRAM,39330B)]"
0,6,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t2(DRAM,39330B)]"
0,7,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t3(DRAM,39330B)]"
0,8,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t3(DRAM,39330B)]"
0,9,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t2(DRAM,39330B)]"
0,10,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t3(DRAM,39330B)]"
0,11,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t2(DRAM,39330B)]"
0,12,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t4(DRAM,38988B),t15(DRAM,50176B)]"
0,13,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t1(DRAM,39675B)]"
0,14,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t4(DRAM,38988B),t31(DRAM,50176B)]"
0,15,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t1(DRAM,39675B)]"
56,0,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=56,loading_core_cycles=0"
57,0,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
109,2,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=109,loading_core_cycles=0"
110,2,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
122,1,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=122,loading_core_cycles=0"
123,1,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
161,4,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=161,loading_core_cycles=0"
162,4,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
174,3,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=174,loading_core_cycles=0"
175,3,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
177,5,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=177,loading_core_cycles=0"
178,5,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
194,6,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=194,loading_core_cycles=0"
195,6,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
210,7,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=210,loading_core_cycles=0"
211,7,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
226,8,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=226,loading_core_cycles=0"
227,8,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
242,9,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=242,loading_core_cycles=0"
243,9,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
