core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
0,0,conv1,,0,56,57,360,56,0,0,1,303,0,"waiting_for=[t0(DRAM,2352B),t1(DRAM,39675B)]"
0,1,pool1,,361,668,864,1019,307,0,0,196,155,0,"waiting_for=[t8(DRAM,51984B)]"
0,2,conv_2_0_a,,1020,1150,1151,1257,130,0,0,1,106,0,"waiting_for=[t40(DRAM,1024B),t41(DRAM,50176B)]"
0,3,conv_2_0_b,,1258,1468,1469,1619,210,0,0,1,150,0,"waiting_for=[t64(DRAM,9216B),t65(DRAM,53824B)]"
0,4,conv_2_0_c,,1620,1993,1994,2231,373,0,0,1,237,0,"waiting_for=[t88(DRAM,4096B),t89(DRAM,50176B),t113(DRAM,50176B)]"
0,5,conv_2_br,,2232,2791,2792,3433,559,0,0,1,641,0,"waiting_for=[t112(DRAM,4096B),t113(DRAM,50176B),t120(DRAM,50176B),t122(DRAM,50176B)]"
0,6,conv_2_0_res,,3434,3951,4735,5003,517,0,0,784,268,0,"waiting_for=[t120(DRAM,50176B),t122(DRAM,50176B)]"
0,7,conv_2_1_a,,5004,5536,5537,5702,532,0,0,1,165,0,"waiting_for=[t184(DRAM,4096B),t185(DRAM,200704B)]"
0,8,conv_2_1_b,,5703,6166,6167,6421,463,0,0,1,254,0,"waiting_for=[t208(DRAM,9216B),t209(DRAM,53824B)]"
0,9,conv_2_1_c,,6422,7120,7121,7527,698,0,0,1,406,0,"waiting_for=[t232(DRAM,4096B),t233(DRAM,50176B),t256(DRAM,50176B),t257(DRAM,50176B)]"
0,10,conv_2_1_res,,7528,7995,8779,9131,467,0,0,784,352,0,"waiting_for=[t256(DRAM,50176B),t257(DRAM,50176B)]"
0,11,conv_2_2_a,,9132,9783,9784,10245,651,0,0,1,461,0,"waiting_for=[t304(DRAM,4096B),t305(DRAM,200704B)]"
0,12,conv_2_2_b,,10246,10553,10554,10900,307,0,0,1,346,0,"waiting_for=[t328(DRAM,9216B),t329(DRAM,53824B)]"
0,13,conv_2_2_c,,10901,11454,11455,11849,553,0,0,1,394,0,"waiting_for=[t352(DRAM,4096B),t353(DRAM,50176B),t376(DRAM,50176B),t377(DRAM,50176B)]"
0,14,conv_2_2_res,,11850,12372,13156,13529,522,0,0,784,373,0,"waiting_for=[t376(DRAM,50176B),t377(DRAM,50176B)]"
0,15,conv_3_0_a,,13530,14201,14202,14558,671,0,0,1,356,0,"waiting_for=[t424(DRAM,8192B),t425(DRAM,186624B)]"
0,16,conv_3_0_b,,14559,14892,14893,15251,333,0,0,1,358,0,"waiting_for=[t448(DRAM,36864B),t449(DRAM,28800B)]"
