cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
229117,1,COMPUTING,WRITEBACK,245,conv_5_0_res,"writeback_to_dram"
229152,1,WRITEBACK,IDLE,246,conv_5_0_res,"writeback_complete"
229153,1,IDLE,LOADING,246,conv_5_0_res,"waiting_for=[t1882(DRAM,25088B),t1884(DRAM,25088B),t1898(DRAM,25088B),t1900(DRAM,25088B)]"
229156,0,COMPUTING,WRITEBACK,246,conv_5_0_res,"writeback_to_dram"
229203,0,WRITEBACK,IDLE,247,conv_5_0_res,"writeback_complete"
229204,0,IDLE,LOADING,247,conv_5_0_res,"waiting_for=[t1886(DRAM,25088B),t1888(DRAM,25088B),t1903(DRAM,100352B)]"
229262,1,LOADING,COMPUTING,246,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=109,loading_core_cycles=0"
229312,3,LOADING,COMPUTING,241,conv_5_br,"compute_cycles=0,loading_dram_cycles=1056,loading_core_cycles=0"
229313,3,COMPUTING,WRITEBACK,241,conv_5_br,"writeback_to_dram"
229348,3,WRITEBACK,IDLE,242,conv_5_br,"writeback_complete"
229349,3,IDLE,LOADING,242,conv_5_br,"waiting_for=[t1833(DRAM,524288B),t1836(DRAM,173056B),t1837(DRAM,173056B)]"
229362,0,LOADING,COMPUTING,247,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=158,loading_core_cycles=0"
229643,2,LOADING,COMPUTING,243,conv_5_br,"compute_cycles=0,loading_dram_cycles=936,loading_core_cycles=0"
229644,2,COMPUTING,WRITEBACK,243,conv_5_br,"writeback_to_dram"
229654,1,COMPUTING,WRITEBACK,246,conv_5_0_res,"writeback_to_dram"
229699,2,WRITEBACK,IDLE,244,conv_5_0_res,"writeback_complete"
229700,2,IDLE,LOADING,244,conv_5_0_res,"waiting_for=[t1842(DRAM,25088B),t1844(DRAM,25088B),t1858(DRAM,25088B),t1860(DRAM,25088B)]"
229709,1,WRITEBACK,IDLE,247,conv_5_0_res,"writeback_complete"
229710,1,IDLE,LOADING,247,conv_5_0_res,"waiting_for=[t1898(DRAM,25088B),t1900(DRAM,25088B),t1903(DRAM,100352B)]"
229754,0,COMPUTING,WRITEBACK,247,conv_5_0_res,"writeback_to_dram"
229818,0,WRITEBACK,IDLE,248,conv_5_1_a,"writeback_complete"
229818,2,LOADING,COMPUTING,244,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=118,loading_core_cycles=0"
229819,0,IDLE,LOADING,248,conv_5_1_a,"waiting_for=[t1902(DRAM,262144B),t1903(DRAM,100352B),t1911(DRAM,100352B)]"
229917,1,LOADING,COMPUTING,247,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=207,loading_core_cycles=0"
230210,2,COMPUTING,WRITEBACK,244,conv_5_0_res,"writeback_to_dram"
230245,2,WRITEBACK,IDLE,245,conv_5_0_res,"writeback_complete"
230246,2,IDLE,LOADING,245,conv_5_0_res,"waiting_for=[t1858(DRAM,25088B),t1860(DRAM,25088B),t1874(DRAM,25088B),t1876(DRAM,25088B)]"
230309,1,COMPUTING,WRITEBACK,247,conv_5_0_res,"writeback_to_dram"
230344,1,WRITEBACK,IDLE,248,conv_5_1_a,"writeback_complete"
230345,1,IDLE,LOADING,248,conv_5_1_a,"waiting_for=[t1910(DRAM,262144B),t1903(DRAM,100352B),t1911(DRAM,100352B)]"
230355,2,LOADING,COMPUTING,245,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=109,loading_core_cycles=0"
230374,0,LOADING,COMPUTING,248,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
230375,0,COMPUTING,WRITEBACK,248,conv_5_1_a,"writeback_to_dram"
230405,3,LOADING,COMPUTING,242,conv_5_br,"compute_cycles=0,loading_dram_cycles=1056,loading_core_cycles=0"
230406,3,COMPUTING,WRITEBACK,242,conv_5_br,"writeback_to_dram"
230529,0,WRITEBACK,IDLE,249,conv_5_1_a,"writeback_complete"
230530,0,IDLE,LOADING,249,conv_5_1_a,"waiting_for=[t1902(DRAM,262144B),t1911(DRAM,100352B),t1916(DRAM,100352B)]"
230538,3,WRITEBACK,IDLE,243,conv_5_br,"writeback_complete"
